index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,before_tiktok_date
1,2,2020-06-07,Let's Do It Again,J Boog,USUYG1009171,3.42857142857143,15953367.0,65,2011-09-27,2020-05-31
8,9,2020-06-07,Do It Again,..,USUM71505606,9.42857142857143,15934429.0,44,2015-05-04,2020-05-31
12,13,2020-06-07,AhiChallenge,ROD🥴,QM4TW2087087,10.4285714285714,28459077.0,74,2020-02-09,2020-05-31
13,14,2020-06-07,Party Girl,StaySolidRocky,USSM12002247,9.14285714285714,29155495.0,32,2020-04-21,2020-05-31
14,15,2020-06-07,Juanfran - Como Llora,Edits 🌸♥️,QM4TW2044943,12.5714285714286,28409031.0,99,2020-02-07,2020-05-31
17,18,2020-06-07,Bella ciao - HUGEL Remix Extended,HUGEL ,FR22F1800090,16.4285714285714,19053694.0,144,2018-04-13,2020-05-31
19,20,2020-06-07,Falling,Trevor Daniel,USUYG1221109,20.1428571428571,20659476.0,106,2018-10-05,2020-05-31
20,21,2020-06-07,Classical Music,Classical Music,TCAAU1178628,21.0,20877140.0,262,2011-02-03,2020-05-31
22,23,2020-06-07,Back to the beat,Rizkyam_NEW,TCAEQ2022365,17.8571428571429,28457577.0,76,2020-01-28,2020-05-31
23,24,2020-06-07,Lagu Untuk Kamu,Pura-pura baek_,MYPJ11900006,17.1428571428571,27345474.0,51,2019-11-15,2020-05-31
24,25,2020-06-07,I need you love,Sara.JY,GBARL1201390,42.2857142857143,12490847.0,101,2012-01-01,2020-05-31
27,28,2020-06-07,Buttercup - MixAndMash,mich,QZFZ71995894,18.4285714285714,26007072.0,80,2019-08-22,2020-05-31
28,29,2020-06-07,Say So,Doja Cat,USRC11903454,15.2857142857143,26951096.0,117,2019-11-07,2020-05-31
31,32,2020-06-07,Ku Tak Bisa - Adista,Z I D A N,FR6V82156483,15.4285714285714,12215313.0,58,2013-11-04,2020-05-31
36,37,2020-06-07,Дикая львица,ALEX&RUS,QM6N21999015,35.5714285714286,24333981.0,115,2019-07-03,2020-05-31
37,38,2020-06-07,goosebumps,Travis Scott,USSM11607555,27.1428571428571,15798674.0,330,2016-09-16,2020-05-31
38,39,2020-06-07,She Share Story (for Vlog),夕依,QZHN52089091,28.2857142857143,29745716.0,218,2020-06-02,2020-05-31
39,40,2020-06-07,Interior Crocodile Alligator,Chip Tha Ripper,USUYG1311273,33.4285714285714,29282251.0,75,2020-04-29,2020-05-31
40,41,2020-06-07,Her Yer Karanlık,Günay Aksoy,TR0392000001,30.4285714285714,28254882.0,261,2020-01-21,2020-05-31
41,42,2020-06-07,AY AY AY,Q Park,QZK6P1947623,23.0,28268818.0,80,2020-01-22,2020-05-31
44,45,2020-06-07,"Vaathi Coming (From ""Master"")",Anirudh Ravichander & Gana Balachandar,INS172000675,28.2857142857143,28718493.0,102,2020-03-10,2020-05-31
45,46,2020-06-07,Yummy,Justin Bieber,USUM71923046,34.1428571428571,28077991.0,92,2020-01-03,2020-05-31
47,48,2020-06-07,Coincidance,Handsome Dancer,TCADA1732009,27.7142857142857,14413756.0,128,2017-04-11,2020-05-31
52,53,2020-06-07,Someone You Loved,Lewis Capaldi,DEUM71807062,43.2857142857143,21918634.0,116,2018-11-08,2020-05-31
56,57,2020-06-07,changes,XXXTENTACION,USUG11800211,42.2857142857143,18614782.0,65,2018-03-02,2020-05-31
57,58,2020-06-07,Harry Potter Theme Song,Ost,AUXN21809909,36.2857142857143,20671417.0,348,2018-10-03,2020-05-31
58,59,2020-06-07,Bapu Tere Karke,Amar Sandhu,FR10S1929787,42.1428571428571,22380999.0,193,2019-02-03,2020-05-31
59,60,2020-06-07,พักก่อน,Milli,FR10S2014617,32.0,28467140.0,61,2020-02-13,2020-05-31
60,61,2020-06-07,In A Club,illusionizemusic,DEE861903105,36.0,24924198.0,86,2019-08-16,2020-05-31
