index,isrc,added_at,removed_at,days_on_playlist,title,artist,spotify_pop,cm_track_id,cm_artist_id,track_genre,release_date,before_pl_spfollowers,after_pl_spfollowers,before_pl_twfollowers,after_pl_twfollowers,before_pl_igfollowers,after_pl_igfollowers,before_pl_tkfollowers,after_pl_tkfollowers,Twitter,Instagram,Tiktok,Net Follower Gain/Loss(Spotify),Net Follower Gain/Loss(Twitter),Net Follower Gain/Loss(Instagram),Net Follower Gain/Loss(Tiktok)
0,QMRSZ2000442,2020-07-20,2020-09-24,66,The Kingdom,Bush,0.0,30212703,7,"alternative metal,alternative rock,grunge,modern rock,nu metal,pop rock,post-grunge,rock",2020-07-17,1092039.0,1152581.0,214201.0,212557.0,152937.0,157427.0,,,True,True,False,60542.0,-1644.0,4490.0,
2,QZNWQ2056640,2020-12-24,2021-02-02,40,We Talk,Timo6ka,,32186905,3694325,,2020-11-27,23.0,27.0,,,,,,,False,False,False,4.0,,,
3,USEP42007002,2020-07-20,2020-09-24,66,Carry On,Falling In Reverse,,30188820,3940,"metalcore,pop punk,rap metal,screamo",2020-07-14,1370493.0,1464833.0,607514.0,605432.0,815194.0,829968.0,,,True,True,False,94340.0,-2082.0,14774.0,
4,TCAEO1983765,2020-10-22,2020-11-26,35,I'd Like to Sail Away With You,David Fogel,,28410557,3549889,,2019-12-23,,,,,,,,,False,False,False,,,,
6,USRC12000604,2020-08-31,2020-11-20,81,Someone Else,Rezz,63.0,28979827,206307,"brostep,canadian electronic,edm,electra,electro house,electronic trap,brostep,catstep,chillstep,complextro,edm,electro house",2020-04-08,257535.0,273795.0,263877.0,267728.0,619976.0,626274.0,34600.0,35600.0,True,True,True,16260.0,3851.0,6298.0,1000.0
7,QZKDK2041912,2020-08-31,2020-10-06,36,FORGOT MY WAY,GOVI,,31135525,520892,,2020-08-25,1611.0,1644.0,,,,,,,False,False,False,33.0,,,
9,UKBSR2001010,2020-07-20,2020-09-24,66,Light Me Up,The Coronas,0.0,30215342,187529,"indie anthem-folk,irish rock",2020-07-17,82587.0,85703.0,112126.0,112099.0,59820.0,61310.0,,,True,True,False,3116.0,-27.0,1490.0,
10,USUM72014730,2020-08-31,2020-11-20,81,my ex's best friend (with blackbear),Machine Gun Kelly,85.0,30778891,3991,"pop rap,rap,pop",2020-09-25,2366928.0,2740036.0,1398950.0,1491388.0,6614249.0,7293610.0,586800.0,1400000.0,True,True,True,373108.0,92438.0,679361.0,813200.0
11,GBKPL2000362,2020-07-20,2020-09-24,66,Obvious Guy,Alfie Templeman,,29979435,812218,,2020-07-17,41516.0,53001.0,9699.0,11351.0,98043.0,100862.0,10000.0,10200.0,True,True,True,11485.0,1652.0,2819.0,200.0
12,USAT22004348,2020-07-21,2020-11-20,122,So What!,jxdn,68.0,30210665,3573734,,2020-07-16,266254.0,521989.0,1364545.0,1806681.0,3533054.0,4505481.0,7100000.0,8800000.0,True,True,True,255735.0,442136.0,972427.0,1700000.0
13,USWB12002977,2020-08-31,2020-11-18,79,Kill TV (feat. Nile Rodgers),ONR,34.0,31150817,726043,"disco,scottish indie",2020-08-28,2547.0,3505.0,1105.0,1192.0,6249.0,6553.0,592.0,698.0,True,True,True,958.0,87.0,304.0,106.0
14,FRU700900116,2020-10-20,2020-11-20,31,What You Know,Two Door Cinema Club,67.0,12274247,3327,"indie pop,indie rock,irish rock,modern rock,northern irish indie,rock",2010-02-17,1926861.0,1945809.0,426384.0,425083.0,261558.0,259908.0,,,True,True,False,18948.0,-1301.0,-1650.0,
15,GBR8R2000253,2020-11-08,2020-12-13,35,YoYoGrip (feat. Jacknife Lee) - Short,A Certain Ratio,,31868677,189763,"big beat,chamber psych,dance rock,dance-punk,experimental,experimental rock,no wave,post-punk,uk post-punk",2020-11-02,21169.0,22132.0,8990.0,9130.0,,,,,True,False,False,963.0,140.0,,
16,USC4R1706367,2020-10-20,2020-11-20,31,You Worry Me,Nathaniel Rateliff & The Night Sweats,,18061051,8667,"folk-pop,funk,new americana,stomp and holler",2018-03-09,428849.0,435278.0,46261.0,46395.0,157117.0,157995.0,,,True,True,False,6429.0,134.0,878.0,
17,TCAEJ1989878,2020-10-03,2020-11-08,36,Say You Will,Val Astaire,,25073490,861790,,2020-07-17,1223.0,1508.0,580.0,578.0,7280.0,7252.0,33.0,33.0,True,True,True,285.0,-2.0,-28.0,0.0
18,DEA432000172,2020-12-28,2021-02-02,36,Kirwani - Live 2020,Ragawerk,,32188507,4119413,,2020-12-04,15.0,20.0,,,,,,,False,False,False,5.0,,,
20,TCAFA2065103,2020-08-31,2020-11-18,79,Walk Away,No Love For The Middle Child,,31175282,3410259,,2020-08-28,4475.0,6163.0,,,25052.0,27354.0,,,False,True,False,1688.0,,2302.0,
21,USAT22007554,2020-12-01,2021-01-10,40,45 (feat. A Boogie Wit da Hoodie),Seddy Hendrinx,,32116328,650132,"melodic rap,rap,trap",2020-11-27,13195.0,15166.0,523.0,564.0,119208.0,132164.0,,,True,True,False,1971.0,41.0,12956.0,
23,USHM82057635,2020-09-14,2020-11-08,55,Easy,Zola,,30566722,3643784,,2020-07-31,412.0,473.0,,,,,,,False,False,False,61.0,,,
24,USRC11902729,2020-10-20,2020-11-20,31,Bad Decisions,The Strokes,,28498318,1011,"alternative rock,garage rock,indie pop,indie rock,modern rock,permanent wave,rock",2020-04-10,3404749.0,3404749.0,624215.0,626641.0,934883.0,952856.0,,,True,True,False,0.0,2426.0,17973.0,
25,GBUM72005140,2020-11-08,2020-12-23,45,"Accident Waiting To Happen - From ""DIRT 5™"" Soundtrack",Sea Girls,,31746761,363774,"english indie rock,indie anthem-folk",2020-09-23,68978.0,74166.0,10343.0,10601.0,39797.0,40493.0,,,True,True,False,5188.0,258.0,696.0,
26,GBARL2000645,2020-08-31,2020-11-18,79,Unperson,Nothing But Thieves,51.0,31154497,4891,"alternative pop rock,modern alternative rock,modern rock,rock",2020-08-28,593104.0,646406.0,120580.0,123995.0,212379.0,233800.0,,,True,True,False,53302.0,3415.0,21421.0,
27,USAT22003150,2020-08-31,2020-11-18,79,Riptide,grandson,58.0,30517008,215304,"modern alternative rock,modern rock",2020-07-31,573987.0,661976.0,62429.0,65850.0,202182.0,227126.0,34400.0,414000.0,True,True,True,87989.0,3421.0,24944.0,379600.0
28,USL4R2002452,2020-11-27,2021-01-02,36,Candy,Chris Clute,,31843963,782524,,2020-10-30,61.0,61.0,,,,,,,False,False,False,0.0,,,
29,QZK6F2096352,2020-11-08,2020-12-23,45,Taikongren,TWOFVCE,,31822238,1404768,,2020-10-28,240.0,267.0,,,,,,,False,False,False,27.0,,,
30,GBUM72000433,2020-10-20,2020-11-20,31,Heat Waves,Glass Animals,80.0,29681793,3656,"gauze pop,indie pop,modern rock,shiver pop",2020-08-07,1303499.0,1357903.0,119308.0,122429.0,344035.0,359143.0,,,True,True,False,54404.0,3121.0,15108.0,
32,QM24S2006335,2020-07-20,2020-09-24,66,The Things We Do,Foster The People,49.0,30060183,3682,"indie pop,modern rock,pop,rock",2020-07-10,2912305.0,2991188.0,950721.0,941756.0,549152.0,558461.0,,,True,True,False,78883.0,-8965.0,9309.0,
33,GBUM72003860,2020-11-08,2020-12-23,45,Want Me,Baby Queen,,31887593,3707418,,2020-11-05,3030.0,6075.0,,,6470.0,9628.0,,,False,True,False,3045.0,,3158.0,
34,QZK6Q2097060,2020-11-03,2020-11-15,12,ToxXxic,Shaya,,31027180,3885442,,2020-08-14,111.0,114.0,,,,,,,False,False,False,3.0,,,
35,GBAFL2000212,2020-07-20,2020-09-24,66,For Sure,Future Islands,,30049130,3153,"alternative dance,baltimore indie,chillwave,indie pop,indie rock,indietronica,modern rock,new rave",2020-07-08,395645.0,415068.0,168983.0,169789.0,79073.0,85307.0,,,True,True,False,19423.0,806.0,6234.0,
36,BEUM72000076,2020-11-08,2020-12-23,45,Eyes On You,RHEA,,31749614,242755,,2020-10-23,2307.0,2526.0,110853.0,111608.0,1973.0,2025.0,,,True,True,False,219.0,755.0,52.0,
37,USYFZ2031305,2020-08-31,2020-11-08,69,Lonely,Palaye Royale,,28736863,49674,"modern alternative rock,modern rock,pop punk,vegas indie",2020-05-29,251815.0,284823.0,203363.0,207877.0,318370.0,328532.0,39400.0,43000.0,True,True,True,33008.0,4514.0,10162.0,3600.0
38,USUM72017435,2020-11-08,2020-12-23,45,"My Way, Soon",Greta Van Fleet,,31598066,374611,"modern blues rock,modern hard rock,rock",2020-10-09,1262073.0,1310148.0,134901.0,135782.0,670709.0,680930.0,,,True,True,False,48075.0,881.0,10221.0,
39,UKHJ41900009,2020-07-20,2020-09-24,66,Rum & Coca Loca,Sunset Sons,,30206244,211987,indie anthem-folk,2020-07-17,65214.0,66264.0,15220.0,15003.0,25678.0,25397.0,,,True,True,False,1050.0,-217.0,-281.0,
40,GBKPL2014298,2020-08-31,2020-11-08,69,MAKEMEFEELALIVE,You Me At Six,,31067194,3296,"modern rock,neon pop punk,pop emo,pop punk,rock",2020-08-19,615060.0,627100.0,423575.0,419240.0,131140.0,132032.0,,,True,True,False,12040.0,-4335.0,892.0,
41,NL3YW2000001,2020-11-08,2020-12-23,45,Disappear,Thelonious Monster,,31906798,552653,,2020-11-03,3882.0,4083.0,2925.0,2941.0,,,,,True,False,False,201.0,16.0,,
42,GBUM72002142,2020-07-20,2020-09-24,66,Carousels - Single Version,Doves,,29840355,27874,"britpop,chamber psych,electronica,indie rock,modern rock,rock",2020-06-18,176792.0,188902.0,190873.0,189915.0,14284.0,17442.0,,,True,True,False,12110.0,-958.0,3158.0,
43,USQX92002981,2020-08-31,2020-11-08,69,Problematic,TWIN XL,45.0,30373759,1340713,,2020-07-24,12716.0,13540.0,4021.0,4013.0,15651.0,15382.0,,,True,True,False,824.0,-8.0,-269.0,
44,GBGLW2000528,2020-07-20,2020-09-24,66,Ho Ka Hey,Psi Com,,30215204,3786140,alternative rock,1985-01-01,116.0,294.0,,,,,,,False,False,False,178.0,,,
45,NLYC62000071,2020-11-08,2020-12-23,45,Do You Know?,Blair Jollands,,31824820,879942,,2020-10-29,191.0,193.0,318.0,317.0,,,,,True,False,False,2.0,-1.0,,
46,GBKPL1973144,2020-08-31,2020-11-08,69,The Kid I Used to Know,Arrested Youth,,26835808,752188,"modern alternative rock,modern rock",2019-11-01,45996.0,52792.0,2813.0,2827.0,13037.0,13193.0,,,True,True,False,6796.0,14.0,156.0,
47,CHA832071702,2020-07-20,2020-09-24,66,Chông Ky,Yin Yin,,30216923,1366103,,2020-07-17,10100.0,12869.0,1794.0,1879.0,,,,,True,False,False,2769.0,85.0,,
48,GBUM72005141,2020-11-08,2020-12-23,45,Pure Desire,KAWALA,,31808050,781385,indie anthem-folk,2020-10-27,28151.0,30564.0,3070.0,3129.0,15626.0,16751.0,,,True,True,False,2413.0,59.0,1125.0,
49,NLQ5B1900002,2020-07-20,2020-09-24,66,Seasons,Vikings in Tibet,,30003282,408572,,2020-07-03,390.0,463.0,233.0,231.0,652.0,663.0,,,True,True,False,73.0,-2.0,11.0,
50,USEP42053009,2020-11-08,2020-12-23,45,Earth Is A Black Hole,Teenage Wrist,,31814466,212123,modern alternative rock,2020-10-28,22274.0,23772.0,4078.0,4140.0,9745.0,10080.0,,,True,True,False,1498.0,62.0,335.0,
52,GBKZV2000069,2020-07-20,2020-09-24,66,Happy Birthday,Boniface,,30040649,731445,manitoba indie,2020-07-07,4544.0,4734.0,1373.0,1365.0,4487.0,4456.0,,,True,True,False,190.0,-8.0,-31.0,
53,CAN112000532,2020-11-08,2020-11-18,10,Wallflower,Tim Atlas,,31891394,209724,vapor soul,2020-11-06,30995.0,32008.0,3705.0,3698.0,12026.0,12094.0,111.0,111.0,True,True,True,1013.0,-7.0,68.0,0.0
54,QZNWR2057923,2020-11-17,2020-12-23,36,Hurricanes,Devan Garcia,,32002270,856767,,2020-11-17,398.0,393.0,,,,,,,False,False,False,-5.0,,,
55,GBUM72003738,2020-08-31,2020-11-08,69,WHAT YOU GONNA DO???,Bastille,59.0,30517042,3924,"metropopolis,modern rock,pop,britpop",2020-07-30,4408768.0,4525962.0,1411690.0,1400248.0,831850.0,822253.0,,,True,True,False,117194.0,-11442.0,-9597.0,
56,QZMEN2089007,2020-11-14,2020-12-23,39,Rock Wit'cha,Saint Jaimz,,31953587,3758978,,2020-10-23,733.0,838.0,651.0,686.0,20933.0,21584.0,,,True,True,False,105.0,35.0,651.0,
57,QZ5FN2047265,2020-10-20,2020-11-26,37,We're Bound To Be Together,Gamblers,,31406820,3754131,,2020-09-18,756.0,1136.0,,,,,,,False,False,False,380.0,,,
58,UK8E21903401,2020-07-20,2020-09-24,66,Everything Affects Me Now,Love Fame Tragedy,,30053174,1556348,english indie rock,2020-07-08,16471.0,18207.0,3820.0,3893.0,33425.0,33337.0,,,True,True,False,1736.0,73.0,-88.0,
59,USUG12002400,2020-08-31,2020-11-08,69,Strawberry Lipstick,YUNGBLUD,,30209602,558951,british indie rock,2020-07-16,1042845.0,1193254.0,467606.0,505122.0,2399827.0,2707098.0,1300000.0,1700000.0,True,True,True,150409.0,37516.0,307271.0,400000.0
60,QZMEQ2092555,2020-12-17,2021-01-03,17,Trapstar,Cwby,,31843853,4092006,,2020-10-30,41.0,1128.0,10.0,12.0,82297.0,79486.0,,,True,True,False,1087.0,2.0,-2811.0,
61,USA2P2035678,2020-11-17,2020-12-23,36,Montevideo,Dirty Nice,,31880614,550480,,2020-11-03,2059.0,2127.0,138.0,159.0,4120.0,4103.0,,,True,True,False,68.0,21.0,-17.0,
62,USWB12000302,2020-07-20,2020-09-24,66,Dinosaurs on the Mountain,The Flaming Lips,18.0,30061597,75569,"alternative rock,art rock,experimental rock,garage rock,indie folk,indie pop,indie rock,lo-fi,modern rock,noise pop,okc indie,pop rock,psychedelic rock,rock",2020-07-10,543621.0,570010.0,965666.0,961595.0,,,,,True,False,False,26389.0,-4071.0,,
63,QMEU32008072,2020-10-20,2020-11-26,37,I Wanna Be Your Girl,Project Grand Slam,,31442845,10088,deep smooth jazz,2020-07-31,1427.0,1667.0,1510.0,1503.0,2246.0,2220.0,,,True,True,False,240.0,-7.0,-26.0,
64,USBQU1900224,2020-07-20,2020-09-24,66,Televised Mind,Fontaines D.C.,,29970141,899906,"chamber psych,english indie rock,irish indie rock",2020-06-30,108346.0,138979.0,33158.0,37638.0,80103.0,94982.0,,,True,True,False,30633.0,4480.0,14879.0,
65,QZJ2A1900023,2020-08-31,2020-11-08,69,Self Control,phem,32.0,31154972,716979,,2020-08-28,22090.0,30305.0,13665.0,15145.0,103559.0,116953.0,10400.0,11600.0,True,True,True,8215.0,1480.0,13394.0,1200.0
66,QZMLX2000004,2020-08-31,2020-11-08,69,Knife Under My Pillow,Maggie Lindemann,56.0,31150967,62961,"dance pop,pop,post-teen pop,social media pop,viral pop",2020-08-28,1181414.0,1246335.0,493816.0,491718.0,4253048.0,4350325.0,749300.0,863100.0,True,True,True,64921.0,-2098.0,97277.0,113800.0
67,USL4Q2019967,2020-09-30,2020-10-19,19,Stranger,The Codas,,31405436,1792620,,2020-09-18,199.0,343.0,,,,,,,False,False,False,144.0,,,
68,GBAHT1901286,2020-07-20,2020-09-24,66,Tiny Indoor Fireworks,Biffy Clyro,,29182644,1430,"modern rock,rock,scottish rock",2020-05-14,563371.0,586876.0,274425.0,274314.0,203409.0,212467.0,,,True,True,False,23505.0,-111.0,9058.0,
70,GBUM72002707,2020-08-31,2020-11-08,69,Where’s Your Head?,NOISY,,30204948,3358995,,2020-07-16,2711.0,4750.0,501.0,695.0,4193.0,4835.0,,,True,True,False,2039.0,194.0,642.0,
71,CAGOO2016708,2020-09-12,2020-12-13,92,Fast Times,DJ Mo Noize,,31451927,3940083,,2020-07-31,1.0,68279.0,,,,,,,False,False,False,68278.0,,,
72,DECE72000358,2020-07-20,2020-09-24,66,Heat Up,Giant Rooks,,29916196,214634,"german indie,german pop,german rock",2020-06-26,120745.0,135131.0,2993.0,3416.0,85398.0,91127.0,148.0,258.0,True,True,True,14386.0,423.0,5729.0,110.0
73,GBWWP2005730,2020-07-20,2020-09-24,66,Skin,Spacey Jane,,28588926,745542,"australian garage punk,australian indie,australian indie rock,fremantle indie,perth indie",2020-02-26,31079.0,38624.0,,,40171.0,45055.0,,,False,True,False,7545.0,,4884.0,
74,GBUM72001368,2020-08-31,2020-11-08,69,Prescription Kid,KID BRUNSWICK,52.0,30367788,1005449,,2020-07-24,1654.0,3455.0,127.0,254.0,2972.0,4050.0,,,True,True,False,1801.0,127.0,1078.0,
75,QZK6N2030261,2020-08-31,2020-11-08,69,Isolation,Killstation,,31061655,509542,"dark trap,emo rap,underground hip hop",2020-08-18,265608.0,303161.0,51138.0,52682.0,322250.0,322955.0,,,True,True,False,37553.0,1544.0,705.0,
