index,year-month,spfollowers,splisteners,sp_fcr,follower_gain
0,2020-03,635,16744,0.03792403248924988,
1,2020-04,803,11783,0.06814902826105408,168.0
2,2020-05,849,4479,0.18955123911587407,46.0
3,2020-06,944,5532,0.17064352856109907,95.0
4,2020-07,1268,33161,0.038237688851361536,324.0
5,2020-08,2057,59356,0.03465530022238696,789.0
6,2020-09,2928,47885,0.06114649681528664,871.0
7,2020-10,5370,107752,0.0498366619645111,2442.0
8,2020-11,6526,65999,0.09888028606494036,1156.0
9,2020-12,8919,139179,0.06408294354751795,2393.0
10,2021-01,10949,135020,0.08109169011998223,2030.0
11,2021-02,12088,117257,0.10308979421271224,1139.0
