index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,Before_Tiktok_Date,total_spotify_followers,track_age,total_ig_followers,artist_pop,Career Stage,Week_In_Chart_Date,ig_followers_afters,IG_Follower_Gain-%,Popularity-Index
0,7,2021-03-09,Bad (2012 Remaster),Michael Jackson,USSM18700002,-0.42857142857142894,15813757.0,19,"['2012-11-30T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '2001-11-13T00:00:00.000Z', '1995-06-16T00:00:00.000Z']",178,2021-02-11,17375600.0,a month,5796340.0,86.0,Emerging,2021-02-25,5830303.0,0.5859387130499591,>=80
1,8,2021-03-09,the bob for me,Aqyila,QZFYZ2164782,-0.14285714285714302,32651909.0,12,['2020-12-26T00:00:00.000Z'],3760154,2021-02-18,2293.0,a month,12356.0,55.0,Indie,2021-03-04,13199.0,6.822596309485271,< 80
2,9,2021-03-09,Моя голова винтом (My head is spinning like a screw),kostromin,QM4TW2159341,-0.42857142857142894,32733452.0,19,['2021-02-02T00:00:00.000Z'],4158039,2021-02-11,2020.0,a month,,67.0,Indie,2021-02-25,,,< 80
3,11,2021-03-09,Batman,LPB Poody,USUM72101263,4.0,32825135.0,11,['2021-02-12T00:00:00.000Z'],1114822,2021-02-19,47095.0,a month,349796.0,65.0,Indie,2021-03-05,355040.0,1.4991595101144668,< 80
4,12,2021-03-09,telepatía,Kali Uchis,GBUM72005748,1.28571428571429,32010274.0,21,"['2020-11-18T00:00:00.000Z', '2020-11-18T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-26T00:00:00.000Z']",99202,2021-02-09,1340834.0,a month,2211918.0,87.0,Emerging,2021-02-23,2284619.0,3.2867854956648483,>=80
5,13,2021-03-09,Apaga a Luz Apaga Tudo 150Bpm,Mc Topre,US7VG2175883,,32999109.0,6,['2021-02-22T00:00:00.000Z'],720112,2021-02-24,6426.0,a month,,56.0,Indie,2021-03-10,,,< 80
6,14,2021-03-09,Tokyo,Leat'eq,QZB4J1810678,1.42857142857143,19210578.0,27,['2018-05-07T00:00:00.000Z'],113442,2021-02-03,4457.0,a month,,64.0,Indie,2021-02-17,,,< 80
7,16,2021-03-09,Pierre dance challenge Isla McMillan,Ryn Weaver,USUM71502417,-0.42857142857142894,15933837.0,21,"['2015-08-17T00:00:00.000Z', '2015-08-28T00:00:00.000Z', '2015-08-17T00:00:00.000Z', '2015-08-28T00:00:00.000Z', '2015-06-16T00:00:00.000Z', '2021-02-26T00:00:00.000Z', '2021-03-04T00:00:00.000Z']",5042,2021-02-09,186758.0,a month,76676.0,70.0,Indie,2021-02-23,77616.0,1.2259377119307215,< 80
8,22,2021-03-09,Welcome to New York by Taylor Swift,Taylor Swift,USCJY1431299,1.7142857142857095,15191524.0,15,"['2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2017-11-09T00:00:00.000Z', '2014-10-26T00:00:00.000Z', '2020-06-24T00:00:00.000Z']",2762,2021-02-15,36789571.0,a month,147611462.0,98.0,Established,2021-03-01,148868087.0,0.8513058423606699,>= 90
9,23,2021-03-09,ТЫ ГОРИШЬ КАК ОГОНЬ,SLAVA MARLOW,DGA072168315,-2.0,32830946.0,17,['2021-02-10T00:00:00.000Z'],3534722,2021-02-13,228151.0,a month,,70.0,Indie,2021-02-27,,,< 80
10,29,2021-03-09,3G - Remix,Wisin,USSD11900456,0.0,28271261.0,28,"['2020-01-24T00:00:00.000Z', '2020-03-18T00:00:00.000Z']",206685,2021-02-02,6290020.0,a month,11965418.0,87.0,Emerging,2021-02-16,11987427.0,0.1839384131837266,>=80
11,36,2021-03-09,Funk do Açaí,Vanessa Esplendorosa,USHM21843174,,20189121.0,7,['2018-02-22T00:00:00.000Z'],1118686,2021-02-23,1130.0,a month,30607.0,27.0,Indie,2021-03-09,30923.0,1.032443558663051,< 80
12,37,2021-03-09,Tình Bạn Diệu Kỳ,Amee,VNA0M1911458,-3.71428571428571,32652366.0,25,['2021-01-23T00:00:00.000Z'],1284218,2021-02-05,,a month,,43.0,Indie,2021-02-19,,,< 80
13,39,2021-03-09,Caution,KAYTRANADA,USRC12100352,-2.28571428571429,32870431.0,14,"['2021-02-18T00:00:00.000Z', '2021-02-18T00:00:00.000Z']",4563,2021-02-16,792430.0,a month,644525.0,74.0,Indie,2021-03-02,649025.0,0.6981885884954036,< 80
14,41,2021-03-09,Pesetas,Rilès,TCADC1725047,,14418667.0,5,['2017-05-29T00:00:00.000Z'],572457,2021-02-25,661076.0,a month,703905.0,68.0,Indie,2021-03-11,702584.0,-0.1876673698865614,< 80
15,43,2021-03-09,Reloj,Rauw Alejandro,USSD12000471,,31750071.0,5,"['2020-10-22T00:00:00.000Z', '2020-11-13T00:00:00.000Z']",224838,2021-02-25,3866923.0,a month,6916424.0,94.0,Established,2021-03-11,7075524.0,2.3003216691168733,>= 90
16,44,2021-03-09,Lady So Coy,Thang Roy,GBLLT2109075,5.571428571428571,33042295.0,11,['2021-02-23T00:00:00.000Z'],4282312,2021-02-19,,a month,,,Indie,2021-03-05,,,< 80
17,46,2021-03-09,It's Not The Same Anymore,Rex Orange County,USRC11902536,-0.28571428571428603,26607442.0,30,['2019-10-25T00:00:00.000Z'],213819,2021-01-31,2699796.0,a month,1564115.0,82.0,Emerging,2021-02-14,1567788.0,0.23482928045572096,>=80
18,47,2021-03-09,M4,Teto,BXW922000017,-0.5714285714285711,32602422.0,27,['2021-01-20T00:00:00.000Z'],3642054,2021-02-03,89847.0,a month,1107185.0,74.0,Indie,2021-02-17,1198787.0,8.273414108753279,< 80
19,49,2021-03-09,Pull Me Closer,Dimitri Vegas,BEG852100008,,33198004.0,6,['2021-03-05T00:00:00.000Z'],1595488,2021-02-24,145997.0,a month,1581220.0,73.0,Indie,2021-03-10,1602213.0,1.3276457418954983,< 80
20,54,2021-03-09,Heartbreak Anniversary,Giveon,USSM12000998,-4.85714285714286,28541554.0,21,"['2020-02-21T00:00:00.000Z', '2020-03-27T00:00:00.000Z', '2020-03-27T00:00:00.000Z']",1202489,2021-02-09,534196.0,a month,802153.0,85.0,Emerging,2021-02-23,956123.0,19.194592552792297,>=80
21,58,2021-03-09,"1,2,3,4 (One, Two, Three, Four) - Fun Elektro Mix",Funbeat,ITJ871201055,,21819135.0,24,['2012-01-01T00:00:00.000Z'],502499,2021-02-06,72.0,a month,,30.0,Indie,2021-02-20,,,< 80
22,70,2021-03-09,Ратата,Konfuz,QM4TW2128488,-2.0,32684745.0,9,['2021-01-29T00:00:00.000Z'],25573,2021-02-21,50567.0,a month,191714.0,66.0,Indie,2021-03-07,194764.0,1.5909114618650702,< 80
23,79,2021-03-09,Soap,Melanie Martinez,USAT21501777,,15090187.0,10,"['2015-08-14T00:00:00.000Z', '2015-08-14T00:00:00.000Z', '2015-07-10T00:00:00.000Z', '2015-08-14T00:00:00.000Z']",4397,2021-02-20,9409847.0,a month,9005395.0,84.0,Emerging,2021-03-06,9035490.0,0.33418856141235337,>=80
24,97,2021-03-09,Быстро,Colorit,RUB422100407,,32954965.0,6,['2021-02-22T00:00:00.000Z'],4143223,2021-02-24,878.0,a month,,45.0,Indie,2021-03-10,,,< 80
25,98,2021-03-09,Golos,Egor Kreed,RUA582100161,2.42857142857143,32917555.0,25,['2021-02-23T00:00:00.000Z'],152122,2021-02-05,479669.0,a month,14103581.0,67.0,Indie,2021-02-19,14129487.0,0.1836838459679141,< 80
