index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,before_tiktok_date,cm_artist_id,slisteners_before,slisteners_after,IG_f14,IG_f21,TW_f14,TW_f21,Tiktok_f14,Tiktok_f21,IG_f31,TW_f31,Tiktok_f31,Tiktok_l31,Tiktok_l21,tiktok_engagement(31),tiktok_engagement(21)
0,1,2021-01-21,Shower,Becky G,USRC11400866,3.14285714285714,15676244.0,69,2014-10-17,2020-12-31,4236,20348649.0,19992699.0,25526514.0,25528130.0,3114462.0,3121029.0,6100000.0,6100000.0,25522353.0,3103665.0,6000000.0,29900000.0,30700000.0,0.20066889632107024,0.1986970684039088
1,2,2021-01-21,Buss It,Erica Banks,USUYG1312999,0.28571428571428603,29555553.0,33,2020-05-15,2020-12-31,1443482,1256798.0,2128992.0,195472.0,241416.0,25491.0,26522.0,22600.0,55300.0,126223.0,21915.0,493.0,741.0,182600.0,0.6653171390013495,0.3028477546549836
2,3,2021-01-21,Aesthetic,Xilo,QZFZ22071847,0.0,28796568.0,224,2020-02-14,2020-12-31,3377623,66938.0,80330.0,,,,,,,,,,,,,
3,4,2021-01-21,Drugs (feat. Two Feet),UPSAHL,USQX91803133,19.1428571428571,22290224.0,60,2019-01-18,2020-12-31,521020,3223708.0,3388571.0,91521.0,92955.0,7418.0,7609.0,484300.0,510400.0,85951.0,5998.0,375100.0,6500000.0,9100000.0,0.057707692307692314,0.056087912087912084
4,5,2021-01-21,Oh No,Kreepa,USUYG1287925,0.28571428571428603,29425832.0,88,2019-12-13,2020-12-31,437999,1452759.0,1482020.0,,,,,,,,,,,,,
5,6,2021-01-21,Mds,Kawê Santos,QZHZ32082915,0.7142857142857142,29519133.0,25,2020-05-19,2020-12-31,1088461,2375995.0,3051631.0,771044.0,807797.0,1674.0,1732.0,,,691112.0,1573.0,,,,,
6,7,2021-01-21,COPINES,Nicole Flores,FRZ041800793,-0.14285714285714302,20438195.0,26,2018-08-24,2020-12-31,480386,12753347.0,12985344.0,2702918.0,2711238.0,1035950.0,1042067.0,1200000.0,1200000.0,2678490.0,1025623.0,1100000.0,3600000.0,3700000.0,0.3055555555555556,0.32432432432432434
7,8,2021-01-21,Adderall (Corvette Corvette),Popp Hunna,USA2P2036916,0.0,31753663.0,73,2020-10-15,2020-12-31,3436485,6283640.0,6752950.0,168272.0,172558.0,224.0,232.0,370500.0,386000.0,151833.0,191.0,322600.0,2000000.0,2500000.0,0.1613,0.1544
8,9,2021-01-21,F Boy,Ander Huang & DJ Kuromi,QZHNC2078374,0.14285714285714302,31595311.0,92,2020-08-22,2020-12-31,3581033,37976.0,44630.0,,,,,,,,,,,,,
9,10,2021-01-21,Do Dat (Tik Tok Resume),Semme,QZHNA2090657,-1.28571428571429,31931701.0,39,2020-07-08,2020-12-31,3296976,17945.0,28104.0,,,,,,,,,,,,,
10,11,2021-01-21,Cristal & МОЁТ,Morgenshtern,DGA062038289,-0.857142857142857,32427262.0,24,2020-12-28,2020-12-31,1003897,2171856.0,2199480.0,6192562.0,6219232.0,,,,,6067185.0,,,,,,
11,12,2021-01-21,Эйя,Канги,QMFME2084797,-0.42857142857142894,32319870.0,24,2020-12-18,2020-12-31,3587784,326216.0,394565.0,68427.0,69551.0,,,97600.0,115600.0,66544.0,,92100.0,1100000.0,1500000.0,0.08372727272727272,0.07706666666666667
12,13,2021-01-21,Steven Universe,L.Dre,QZFZ32084911,-1.57142857142857,28637630.0,222,2020-02-21,2020-12-31,751357,776834.0,881324.0,93402.0,93496.0,11467.0,11500.0,507200.0,516900.0,93387.0,11431.0,476500.0,5800000.0,5900000.0,0.08215517241379311,0.08761016949152542
13,14,2021-01-21,Me Too,Kevin Gates,USAT21811065,0.0,20586757.0,58,2018-09-20,2020-12-31,3342,4954253.0,5078293.0,,,1645532.0,1646235.0,809600.0,818000.0,,1644340.0,790600.0,1900000.0,2000000.0,0.4161052631578948,0.409
14,15,2021-01-21,Ampun Bang Jago,Tian Storm & Ever Slkr,IDA632000700,-0.42857142857142894,31809521.0,39,2020-09-12,2020-12-31,4015440,138879.0,139780.0,,,,,,,,,,,,,
15,16,2021-01-21,I'm Legit,Nicki Minaj,USCM51200745,1.85714285714286,15193950.0,35,2012-11-19,2020-12-31,3442,40918130.0,40829989.0,127137102.0,127943242.0,21938969.0,21990059.0,5900000.0,6000000.0,125577146.0,21747408.0,5800000.0,12900000.0,13600000.0,0.4496124031007752,0.4411764705882353
16,17,2021-01-21,Paparazzi,Kim Dracula,QZNWY2036332,1.14285714285714,32313666.0,40,2020-12-11,2020-12-31,3972008,1214898.0,1826618.0,147485.0,160864.0,2604.0,3210.0,2800000.0,2900000.0,124977.0,2517.0,2500000.0,36500000.0,41200000.0,0.0684931506849315,0.0703883495145631
17,18,2021-01-21,Xerecard,Jeff Costa & Mc Danny,QZEQU2076765,8.85714285714286,32120896.0,24,2020-10-18,2020-12-31,3383295,259677.0,535199.0,,,,,,,,,,,,,
18,19,2021-01-21,Bamboleo,Gipsy Kings,USN018884501,2.71428571428571,15566572.0,18,2017-03-15,2020-12-31,394,2377838.0,2465642.0,419.0,425.0,872.0,874.0,,,419.0,872.0,,,,,
19,20,2021-01-21,Lofi,Domknowz,QZFZ42089472,-0.42857142857142894,28931601.0,181,2020-02-28,2020-12-31,3582396,22132.0,25038.0,,,,,,,,,,,,,
20,21,2021-01-21,Венера-Юпитер,Ваня Дмитриенко,RUACR2000286,9.85714285714286,32465113.0,24,2021-01-01,2020-12-31,3993867,75711.0,110334.0,,,,,,,,,,,,,
21,22,2021-01-21,Rumors,Jake Miller,USWB11507655,,16028999.0,7,2015-07-08,2020-12-31,4521,860652.0,872917.0,918261.0,916933.0,531112.0,530814.0,795800.0,795500.0,920824.0,532208.0,794500.0,8900000.0,9000000.0,0.08926966292134833,0.08838888888888889
22,23,2021-01-21,Bandook,Nirvair Pannu,FR96X2024977,-0.5714285714285711,29644559.0,201,2020-05-30,2020-12-31,1692046,606549.0,611484.0,,,,,,,,,,,,,
23,24,2021-01-21,pota pota by HERA,hera,FRZ041800793,-1.14285714285714,20438195.0,46,2018-08-24,2020-12-31,480386,12753347.0,12985344.0,2702918.0,2711238.0,1035950.0,1042067.0,1200000.0,1200000.0,2678490.0,1025623.0,1100000.0,3600000.0,3700000.0,0.3055555555555556,0.32432432432432434
24,25,2021-01-21,Monkeys Spinning Monkeys,Kevin MacLeod,USUAN1400011,7.571428571428571,17158836.0,228,2014-12-30,2020-12-31,333690,246023.0,247897.0,,,18263.0,18284.0,,,,18252.0,,,,,
25,26,2021-01-21,Pipipi Calon Mantu (Remix),DJ Opus,FRX872053520,1.28571428571429,31742974.0,43,2020-09-22,2020-12-31,1374602,326203.0,322037.0,,,,,,,,,,,,,
26,27,2021-01-21,original sound,😇Larry😇,ART0G2004825,,32528776.0,9,2021-01-08,2020-12-31,1453446,4263668.0,4656775.0,17817.0,17918.0,412.0,413.0,,,17656.0,411.0,,,,,
27,28,2021-01-21,Mhm Mhm,Cdot Honcho,QZMHM2098517,12.5714285714286,31626196.0,24,2020-10-09,2020-12-31,661520,90424.0,111051.0,320505.0,322717.0,41027.0,41050.0,,,320355.0,40972.0,,,,,
28,29,2021-01-21,Bad boy,Marwa Loud,FR7IX1800130,0.5714285714285711,18723926.0,43,2018-03-09,2020-12-31,387692,2091818.0,2580270.0,1056484.0,1057711.0,9604.0,9607.0,1100000.0,1200000.0,1049912.0,9584.0,1100000.0,6600000.0,6700000.0,0.16666666666666666,0.1791044776119403
30,31,2021-01-21,LSD,Tisakorean,QM24S1922802,-1.85714285714286,25238830.0,40,2019-07-31,2020-12-31,1111162,298989.0,307956.0,,,40838.0,40880.0,,,,40854.0,,,,,
31,32,2021-01-21,COPINES SLOWED FULL VERSION,R O S E,FRZ041800793,-0.857142857142857,20438195.0,25,2018-08-24,2020-12-31,480386,12753347.0,12985344.0,2702918.0,2711238.0,1035950.0,1042067.0,1200000.0,1200000.0,2678490.0,1025623.0,1100000.0,3600000.0,3700000.0,0.3055555555555556,0.32432432432432434
