label,isrc,added_at,removed_at,days_on_playlist,title,artist,spotify_pop,cm_track_id,cm_artist_id,track_genre,release_date
0,QMRSZ2000442,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,The Kingdom,['Bush'],0.0,30212703,[7],"alternative metal,alternative rock,grunge,modern rock,nu metal,pop rock,post-grunge,rock",['2020-07-17T00:00:00.000Z']
1,USAT22005095,2020-11-08T00:00:00.000Z,2021-02-06T00:00:00.000Z,90,Virtual Aerobics,['Wallows'],,31522611,[568354],"indie pop,modern rock,pop",['2020-10-02T00:00:00.000Z']
2,QZNWQ2056640,2020-12-24T00:00:00.000Z,2021-02-02T00:00:00.000Z,40,We Talk,['Timo6ka'],,32186905,[3694325],,['2020-11-27T00:00:00.000Z']
3,USEP42007002,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Carry On,['Falling In Reverse'],,30188820,[3940],"metalcore,pop punk,rap metal,screamo",['2020-07-14T00:00:00.000Z']
4,TCAEO1983765,2020-10-22T00:00:00.000Z,2020-11-26T00:00:00.000Z,35,I'd Like to Sail Away With You,"['David Fogel', 'Joseph De Natale']",,28410557,"[3549889, 3549890]",,['2019-12-23T00:00:00.000Z']
5,USAT22003722,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Jerk,['Oliver Tree'],64.0,30210652,[430760],alternative hip hop,['2020-07-17T00:00:00.000Z']
6,USRC12000604,2020-08-31T00:00:00.000Z,2020-11-20T00:00:00.000Z,81,Someone Else,"['Rezz', 'Grabbitz']",63.0,28979827,"[206307, 207372]","brostep,canadian electronic,edm,electra,electro house,electronic trap,brostep,catstep,chillstep,complextro,edm,electro house",['2020-04-08T00:00:00.000Z']
7,QZKDK2041912,2020-08-31T00:00:00.000Z,2020-10-06T00:00:00.000Z,36,FORGOT MY WAY,['GOVI'],,31135525,[520892],,['2020-08-25T00:00:00.000Z']
8,USUM72014730,2020-08-31T00:00:00.000Z,2020-09-27T00:00:00.000Z,27,my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",,30778891,"[3991, 169796]","pop rap,rap,pop",['2020-08-07T00:00:00.000Z']
9,UKBSR2001010,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Light Me Up,['The Coronas'],0.0,30215342,[187529],"indie anthem-folk,irish rock",['2020-07-17T00:00:00.000Z']
10,USUM72014730,2020-08-31T00:00:00.000Z,2020-11-20T00:00:00.000Z,81,my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",85.0,30778891,"[3991, 169796]","pop rap,rap,pop",['2020-09-25T00:00:00.000Z']
11,GBKPL2000362,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Obvious Guy,['Alfie Templeman'],,29979435,[812218],,['2020-07-17T00:00:00.000Z']
12,USAT22004348,2020-07-21T00:00:00.000Z,2020-11-20T00:00:00.000Z,122,So What!,['jxdn'],68.0,30210665,[3573734],,['2020-07-16T00:00:00.000Z']
13,USWB12002977,2020-08-31T00:00:00.000Z,2020-11-18T00:00:00.000Z,79,Kill TV (feat. Nile Rodgers),"['ONR', 'Nile Rodgers']",34.0,31150817,"[726043, 212474]","disco,scottish indie",['2020-08-28T00:00:00.000Z']
14,FRU700900116,2020-10-20T00:00:00.000Z,2020-11-20T00:00:00.000Z,31,What You Know,['Two Door Cinema Club'],67.0,12274247,[3327],"indie pop,indie rock,irish rock,modern rock,northern irish indie,rock",['2010-02-17T00:00:00.000Z']
15,GBR8R2000253,2020-11-08T00:00:00.000Z,2020-12-13T00:00:00.000Z,35,YoYoGrip (feat. Jacknife Lee) - Short,"['A Certain Ratio', 'Jacknife Lee']",,31868677,"[189763, 111026]","big beat,chamber psych,dance rock,dance-punk,experimental,experimental rock,no wave,post-punk,uk post-punk",['2020-11-02T00:00:00.000Z']
16,USC4R1706367,2020-10-20T00:00:00.000Z,2020-11-20T00:00:00.000Z,31,You Worry Me,['Nathaniel Rateliff & The Night Sweats'],,18061051,[8667],"folk-pop,funk,new americana,stomp and holler",['2018-03-09T00:00:00.000Z']
17,TCAEJ1989878,2020-10-03T00:00:00.000Z,2020-11-08T00:00:00.000Z,36,Say You Will,['Val Astaire'],,25073490,[861790],,['2020-07-17T00:00:00.000Z']
18,DEA432000172,2020-12-28T00:00:00.000Z,2021-02-02T00:00:00.000Z,36,Kirwani - Live 2020,['Ragawerk'],,32188507,[4119413],,['2020-12-04T00:00:00.000Z']
19,QZLQR2076825,2020-07-10T00:00:00.000Z,2020-09-24T00:00:00.000Z,76,Miami Heat - Live,['DJ Electronica'],,30318931,[3771350],,['2020-07-05T00:00:00.000Z']
20,TCAFA2065103,2020-08-31T00:00:00.000Z,2020-11-18T00:00:00.000Z,79,Walk Away,"['No Love For The Middle Child', 'American Teeth']",,31175282,"[3410259, 1725214]",,['2020-08-28T00:00:00.000Z']
21,USAT22007554,2020-12-01T00:00:00.000Z,2021-01-10T00:00:00.000Z,40,45 (feat. A Boogie Wit da Hoodie),"['Seddy Hendrinx', 'A Boogie Wit da Hoodie']",,32116328,"[650132, 195737]","melodic rap,rap,trap",['2020-11-27T00:00:00.000Z']
22,GBUM72001849,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,All I Want To Hear You Say - Single Version,['Sea Girls'],,29917366,[363774],"english indie rock,indie anthem-folk",['2020-06-26T00:00:00.000Z']
23,USHM82057635,2020-09-14T00:00:00.000Z,2020-11-08T00:00:00.000Z,55,Easy,['Zola'],,30566722,[3643784],,['2020-07-31T00:00:00.000Z']
24,USRC11902729,2020-10-20T00:00:00.000Z,2020-11-20T00:00:00.000Z,31,Bad Decisions,['The Strokes'],,28498318,[1011],"alternative rock,garage rock,indie pop,indie rock,modern rock,permanent wave,rock",['2020-04-10T00:00:00.000Z']
25,GBUM72005140,2020-11-08T00:00:00.000Z,2020-12-23T00:00:00.000Z,45,"Accident Waiting To Happen - From ""DIRT 5™"" Soundtrack",['Sea Girls'],,31746761,[363774],"english indie rock,indie anthem-folk",['2020-09-23T00:00:00.000Z']
26,GBARL2000645,2020-08-31T00:00:00.000Z,2020-11-18T00:00:00.000Z,79,Unperson,['Nothing But Thieves'],51.0,31154497,[4891],"alternative pop rock,modern alternative rock,modern rock,rock",['2020-08-28T00:00:00.000Z']
27,USAT22003150,2020-08-31T00:00:00.000Z,2020-11-18T00:00:00.000Z,79,Riptide,['grandson'],58.0,30517008,[215304],"modern alternative rock,modern rock",['2020-07-31T00:00:00.000Z']
28,USL4R2002452,2020-11-27T00:00:00.000Z,2021-01-02T00:00:00.000Z,36,Candy,['Chris Clute'],,31843963,[782524],,['2020-10-30T00:00:00.000Z']
29,QZK6F2096352,2020-11-08T00:00:00.000Z,2020-12-23T00:00:00.000Z,45,Taikongren,['TWOFVCE'],,31822238,[1404768],,['2020-10-28T00:00:00.000Z']
30,GBUM72000433,2020-10-20T00:00:00.000Z,2020-11-20T00:00:00.000Z,31,Heat Waves,['Glass Animals'],80.0,29681793,[3656],"gauze pop,indie pop,modern rock,shiver pop",['2020-08-07T00:00:00.000Z']
31,USAT21812258,2020-10-20T00:00:00.000Z,2020-11-20T00:00:00.000Z,31,Are You Bored Yet? (feat. Clairo),"['Wallows', 'Clairo']",83.0,22358948,"[568354, 601559]","indie pop,modern rock,pop,bedroom pop,boston indie,pop",['2019-03-22T00:00:00.000Z']
32,QM24S2006335,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,The Things We Do,['Foster The People'],49.0,30060183,[3682],"indie pop,modern rock,pop,rock",['2020-07-10T00:00:00.000Z']
33,GBUM72003860,2020-11-08T00:00:00.000Z,2020-12-23T00:00:00.000Z,45,Want Me,['Baby Queen'],,31887593,[3707418],,['2020-11-05T00:00:00.000Z']
34,QZK6Q2097060,2020-11-03T00:00:00.000Z,2020-11-15T00:00:00.000Z,12,ToxXxic,['Shaya'],,31027180,[3885442],,['2020-08-14T00:00:00.000Z']
35,GBAFL2000212,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,For Sure,['Future Islands'],,30049130,[3153],"alternative dance,baltimore indie,chillwave,indie pop,indie rock,indietronica,modern rock,new rave",['2020-07-08T00:00:00.000Z']
36,BEUM72000076,2020-11-08T00:00:00.000Z,2020-12-23T00:00:00.000Z,45,Eyes On You,['RHEA'],,31749614,[242755],,['2020-10-23T00:00:00.000Z']
37,USYFZ2031305,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,Lonely,['Palaye Royale'],,28736863,[49674],"modern alternative rock,modern rock,pop punk,vegas indie",['2020-05-29T00:00:00.000Z']
38,USUM72017435,2020-11-08T00:00:00.000Z,2020-12-23T00:00:00.000Z,45,"My Way, Soon",['Greta Van Fleet'],,31598066,[374611],"modern blues rock,modern hard rock,rock",['2020-10-09T00:00:00.000Z']
39,UKHJ41900009,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Rum & Coca Loca,['Sunset Sons'],,30206244,[211987],indie anthem-folk,['2020-07-17T00:00:00.000Z']
40,GBKPL2014298,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,MAKEMEFEELALIVE,['You Me At Six'],,31067194,[3296],"modern rock,neon pop punk,pop emo,pop punk,rock",['2020-08-19T00:00:00.000Z']
41,NL3YW2000001,2020-11-08T00:00:00.000Z,2020-12-23T00:00:00.000Z,45,Disappear,['Thelonious Monster'],,31906798,[552653],,['2020-11-03T00:00:00.000Z']
42,GBUM72002142,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Carousels - Single Version,['Doves'],,29840355,[27874],"britpop,chamber psych,electronica,indie rock,modern rock,rock",['2020-06-18T00:00:00.000Z']
43,USQX92002981,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,Problematic,['TWIN XL'],45.0,30373759,[1340713],,['2020-07-24T00:00:00.000Z']
44,GBGLW2000528,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Ho Ka Hey,"['Psi Com', 'Perry Farrell']",,30215204,"[3786140, 144668]",alternative rock,['1985-01-01T00:00:00.000Z']
45,NLYC62000071,2020-11-08T00:00:00.000Z,2020-12-23T00:00:00.000Z,45,Do You Know?,['Blair Jollands'],,31824820,[879942],,['2020-10-29T00:00:00.000Z']
46,GBKPL1973144,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,The Kid I Used to Know,['Arrested Youth'],,26835808,[752188],"modern alternative rock,modern rock",['2019-11-01T00:00:00.000Z']
47,CHA832071702,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Chông Ky,['Yin Yin'],,30216923,[1366103],,['2020-07-17T00:00:00.000Z']
48,GBUM72005141,2020-11-08T00:00:00.000Z,2020-12-23T00:00:00.000Z,45,Pure Desire,['KAWALA'],,31808050,[781385],indie anthem-folk,['2020-10-27T00:00:00.000Z']
49,NLQ5B1900002,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Seasons,['Vikings in Tibet'],,30003282,[408572],,['2020-07-03T00:00:00.000Z']
50,USEP42053009,2020-11-08T00:00:00.000Z,2020-12-23T00:00:00.000Z,45,Earth Is A Black Hole,['Teenage Wrist'],,31814466,[212123],modern alternative rock,['2020-10-28T00:00:00.000Z']
