index,isrc,added_at,removed_at,days_on_playlist,title,artist,spotify_pop,cm_track_id,cm_artist_id,track_genre,release_date,before_pl_spfollowers,after_pl_spfollowers,before_pl_twfollowers,after_pl_twfollowers,before_pl_igfollowers,after_pl_igfollowers,before_pl_tkfollowers,after_pl_tkfollowers,Twitter,Instagram,Tiktok,Net Follower Gain/Loss(Spotify),Net Follower Gain/Loss(Twitter),Net Follower Gain/Loss(Instagram),Net Follower Gain/Loss(Tiktok),before_pl_tklikes,after_pl_tklikes,tk_engagement_before(likes per follower),Total Spotify Reach
6,USRC12000604,2020-08-31,2020-11-20,81,Someone Else,Rezz,63.0,28979827,206307,"brostep,canadian electronic,edm,electra,electro house,electronic trap,brostep,catstep,chillstep,complextro,edm,electro house",2020-04-08,257535.0,273795.0,263877.0,267728.0,619976.0,626274.0,34600.0,35600.0,True,True,True,16260.0,3851.0,6298.0,1000.0,253700,259700,7.332369942196531,437641
10,USUM72014730,2020-08-31,2020-11-20,81,my ex's best friend (with blackbear),Machine Gun Kelly,85.0,30778891,3991,"pop rap,rap,pop",2020-09-25,2366928.0,2740036.0,1398950.0,1491388.0,6614249.0,7293610.0,586800.0,1400000.0,True,True,True,373108.0,92438.0,679361.0,813200.0,1200000,8600000,2.044989775051125,100073441
11,GBKPL2000362,2020-07-20,2020-09-24,66,Obvious Guy,Alfie Templeman,,29979435,812218,,2020-07-17,41516.0,53001.0,9699.0,11351.0,98043.0,100862.0,10000.0,10200.0,True,True,True,11485.0,1652.0,2819.0,200.0,55300,55600,5.53,5551264
12,USAT22004348,2020-07-21,2020-11-20,122,So What!,jxdn,68.0,30210665,3573734,,2020-07-16,266254.0,521989.0,1364545.0,1806681.0,3533054.0,4505481.0,7100000.0,8800000.0,True,True,True,255735.0,442136.0,972427.0,1700000.0,245600000,292100000,34.59154929577465,22556839
13,USWB12002977,2020-08-31,2020-11-18,79,Kill TV (feat. Nile Rodgers),ONR,34.0,31150817,726043,"disco,scottish indie",2020-08-28,2547.0,3505.0,1105.0,1192.0,6249.0,6553.0,592.0,698.0,True,True,True,958.0,87.0,304.0,106.0,377,1065,0.6368243243243243,1753553
17,TCAEJ1989878,2020-10-03,2020-11-08,36,Say You Will,Val Astaire,,25073490,861790,,2020-07-17,1223.0,1508.0,580.0,578.0,7280.0,7252.0,33.0,33.0,True,True,True,285.0,-2.0,-28.0,0.0,139,141,4.212121212121212,0
27,USAT22003150,2020-08-31,2020-11-18,79,Riptide,grandson,58.0,30517008,215304,"modern alternative rock,modern rock",2020-07-31,573987.0,661976.0,62429.0,65850.0,202182.0,227126.0,34400.0,414000.0,True,True,True,87989.0,3421.0,24944.0,379600.0,157700,3200000,4.584302325581396,6876375
37,USYFZ2031305,2020-08-31,2020-11-08,69,Lonely,Palaye Royale,,28736863,49674,"modern alternative rock,modern rock,pop punk,vegas indie",2020-05-29,251815.0,284823.0,203363.0,207877.0,318370.0,328532.0,39400.0,43000.0,True,True,True,33008.0,4514.0,10162.0,3600.0,507900,570800,12.890862944162437,889700
53,CAN112000532,2020-11-08,2020-11-18,10,Wallflower,Tim Atlas,,31891394,209724,vapor soul,2020-11-06,30995.0,32008.0,3705.0,3698.0,12026.0,12094.0,111.0,111.0,True,True,True,1013.0,-7.0,68.0,0.0,154,154,1.3873873873873874,5076
59,USUG12002400,2020-08-31,2020-11-08,69,Strawberry Lipstick,YUNGBLUD,,30209602,558951,british indie rock,2020-07-16,1042845.0,1193254.0,467606.0,505122.0,2399827.0,2707098.0,1300000.0,1700000.0,True,True,True,150409.0,37516.0,307271.0,400000.0,10400000,15500000,8.0,8315864
65,QZJ2A1900023,2020-08-31,2020-11-08,69,Self Control,phem,32.0,31154972,716979,,2020-08-28,22090.0,30305.0,13665.0,15145.0,103559.0,116953.0,10400.0,11600.0,True,True,True,8215.0,1480.0,13394.0,1200.0,110800,127900,10.653846153846153,1764976
66,QZMLX2000004,2020-08-31,2020-11-08,69,Knife Under My Pillow,Maggie Lindemann,56.0,31150967,62961,"dance pop,pop,post-teen pop,social media pop,viral pop",2020-08-28,1181414.0,1246335.0,493816.0,491718.0,4253048.0,4350325.0,749300.0,863100.0,True,True,True,64921.0,-2098.0,97277.0,113800.0,6600000,8900000,8.808221006272522,8666478
72,DECE72000358,2020-07-20,2020-09-24,66,Heat Up,Giant Rooks,,29916196,214634,"german indie,german pop,german rock",2020-06-26,120745.0,135131.0,2993.0,3416.0,85398.0,91127.0,148.0,258.0,True,True,True,14386.0,423.0,5729.0,110.0,334,0,2.2567567567567566,1251263
85,USAT22000467,2020-07-20,2020-09-24,66,Bury Me Alive,Oliver Tree,,29566342,430760,alternative hip hop,2020-05-26,791717.0,985107.0,199943.0,226491.0,1528414.0,1657368.0,902800.0,1500000.0,True,True,True,193390.0,26548.0,128954.0,597200.0,12600000,26100000,13.956579530350021,1031891
90,USHR22010904,2020-08-31,2020-10-21,51,Carhartts & Converse (feat. Mark Hoppus),Super Whatevr,41.0,30064321,178152,"alternative emo,anthem emo,modern alternative rock",2020-07-10,24191.0,25718.0,11381.0,11127.0,19528.0,20160.0,81900.0,0.0,True,True,True,1527.0,-254.0,632.0,-81900.0,1100000,1200000,13.431013431013431,1716
94,USAT21812258,2020-07-20,2020-09-24,66,Are You Bored Yet? (feat. Clairo),Wallows,83.0,22358948,568354,"indie pop,modern rock,pop,bedroom pop,boston indie,pop",2019-03-22,980873.0,1316495.0,198010.0,272750.0,1023478.0,1344606.0,896000.0,1400000.0,True,True,True,335622.0,74740.0,321128.0,504000.0,3900000,10600000,4.352678571428571,44312855
95,QM6MZ2094860,2020-08-31,2020-10-21,51,Hold Me Down,The Happy Fits,,31079865,211191,"indie rockism,modern rock,new jersey indie",2020-08-28,38996.0,45217.0,3218.0,3509.0,15316.0,16569.0,12200.0,12700.0,True,True,True,6221.0,291.0,1253.0,500.0,178300,186400,14.614754098360656,0
98,USUM72011694,2020-07-21,2020-10-21,92,The Machine,Oliver Malcolm,,30202851,3566277,,2020-07-15,5583.0,8983.0,855.0,900.0,9474.0,10770.0,68.0,80.0,True,True,True,3400.0,45.0,1296.0,12.0,793,834,11.661764705882353,10017813
