index,ftimestp,spfollowers,splisteners,sp_fcr,daily_diff,year-month
0,2020-03-06,369,3835,0.09621903520208604,,2020-03
1,2020-03-07,375,4476,0.08378016085790885,6.0,2020-03
2,2020-03-08,381,5117,0.0744576900527653,6.0,2020-03
3,2020-03-09,387,5759,0.06719916652196561,6.0,2020-03
4,2020-03-10,393,6400,0.06140625,6.0,2020-03
5,2020-03-11,399,7041,0.05666808691947167,6.0,2020-03
6,2020-03-12,405,7682,0.052720645665191364,6.0,2020-03
7,2020-03-13,411,8324,0.049375300336376736,6.0,2020-03
8,2020-03-14,417,8965,0.04651422197434468,6.0,2020-03
9,2020-03-15,423,9606,0.04403497813866333,6.0,2020-03
10,2020-03-16,425,9606,0.04424318134499272,2.0,2020-03
11,2020-03-17,436,10574,0.04123321354265179,11.0,2020-03
12,2020-03-18,446,11542,0.03864148327846127,10.0,2020-03
13,2020-03-19,457,12510,0.036530775379696234,11.0,2020-03
14,2020-03-20,472,12863,0.036694394775713284,15.0,2020-03
15,2020-03-21,487,13216,0.03684927360774819,15.0,2020-03
16,2020-03-22,502,13569,0.03699609403788046,15.0,2020-03
17,2020-03-23,516,13921,0.037066302708138786,14.0,2020-03
18,2020-03-24,531,14274,0.03720050441361917,15.0,2020-03
19,2020-03-25,546,14627,0.03732822861830861,15.0,2020-03
20,2020-03-26,561,14980,0.037449933244325766,15.0,2020-03
21,2020-03-27,576,15333,0.03756603404421835,15.0,2020-03
22,2020-03-28,591,15686,0.03767690934591356,15.0,2020-03
23,2020-03-29,606,16039,0.03778290417108299,15.0,2020-03
24,2020-03-30,621,16392,0.03788433382137628,15.0,2020-03
25,2020-03-31,635,16744,0.03792403248924988,14.0,2020-03
26,2020-04-01,650,17097,0.038018365795168735,15.0,2020-04
27,2020-04-02,665,17450,0.038108882521489966,15.0,2020-04
28,2020-04-03,680,17803,0.038195809694995225,15.0,2020-04
29,2020-04-04,687,17500,0.03925714285714287,7.0,2020-04
30,2020-04-05,693,17197,0.040297726347618766,6.0,2020-04
31,2020-04-06,700,16893,0.04143728171431954,7.0,2020-04
32,2020-04-07,707,16590,0.042616033755274264,7.0,2020-04
33,2020-04-08,714,16287,0.04383864431755388,7.0,2020-04
34,2020-04-09,720,15984,0.045045045045045036,6.0,2020-04
35,2020-04-10,727,15681,0.046361839168420384,7.0,2020-04
36,2020-04-11,734,15377,0.04773362814593224,7.0,2020-04
37,2020-04-12,741,15074,0.04915748971739418,7.0,2020-04
38,2020-04-13,747,14771,0.05057206688782073,6.0,2020-04
39,2020-04-14,754,14468,0.052115012441249664,7.0,2020-04
40,2020-04-15,761,14165,0.05372396752559125,7.0,2020-04
41,2020-04-16,768,13861,0.05540725777360941,7.0,2020-04
42,2020-04-17,774,13558,0.05708806608644342,6.0,2020-04
43,2020-04-18,781,13255,0.05892116182572614,7.0,2020-04
44,2020-04-19,783,13132,0.059625342674383186,2.0,2020-04
45,2020-04-20,785,13010,0.06033820138355112,2.0,2020-04
46,2020-04-21,786,12887,0.06099169705905176,1.0,2020-04
47,2020-04-22,788,12764,0.0617361328737073,2.0,2020-04
48,2020-04-23,790,12642,0.062490112323999376,2.0,2020-04
49,2020-04-24,792,12519,0.06326383896477354,2.0,2020-04
50,2020-04-25,794,12396,0.06405292029686996,2.0,2020-04
51,2020-04-26,795,12274,0.06477106077888219,1.0,2020-04
52,2020-04-27,797,12151,0.06559130935725455,2.0,2020-04
53,2020-04-28,799,12028,0.06642833388759561,2.0,2020-04
54,2020-04-29,801,11906,0.06727700319166807,2.0,2020-04
55,2020-04-30,803,11783,0.06814902826105408,2.0,2020-04
56,2020-05-01,804,11660,0.06895368782161235,1.0,2020-05
57,2020-05-02,806,11538,0.06985612757843647,2.0,2020-05
58,2020-05-03,808,11415,0.07078405606657906,2.0,2020-05
59,2020-05-04,809,11122,0.0727387160582629,1.0,2020-05
60,2020-05-05,810,10829,0.07479915042940254,1.0,2020-05
61,2020-05-06,811,10536,0.07697418375094912,1.0,2020-05
62,2020-05-07,813,10243,0.07937127794591428,2.0,2020-05
63,2020-05-08,814,9950,0.08180904522613065,1.0,2020-05
64,2020-05-09,815,9657,0.08439473956715336,1.0,2020-05
65,2020-05-10,816,9364,0.08714224690303289,1.0,2020-05
66,2020-05-11,817,9070,0.09007717750826902,1.0,2020-05
67,2020-05-12,818,8777,0.09319813148000457,1.0,2020-05
68,2020-05-13,819,8484,0.09653465346534654,1.0,2020-05
69,2020-05-14,820,8191,0.10010987669393236,1.0,2020-05
70,2020-05-15,822,7898,0.10407698151430744,2.0,2020-05
71,2020-05-16,823,7605,0.10821827744904668,1.0,2020-05
72,2020-05-17,824,7312,0.112691466083151,1.0,2020-05
