index,release_dates,cm_track_id,track_title,isrc,cm_artist_id,spotify_playlist_reach,sp-rch-1wk,sp-rch-2wk,sp-rch-3wk
0,2019-02-15,22492404,Fashit,QZDA71914512,1010582,30,0,30,30
1,2020-02-12,28465447,About Today,UST842006401,1399763,583,0,0,583
2,2020-03-03,28668533,Lemonworld,UST842006402,1399763,634,584,1167,1167
3,2020-03-03,28681466,HAGS,UST842006409,1399763,252,584,1167,1167
4,2020-03-13,28761966,All The Wine,UST842006404,1399763,0,0,38,42
5,2020-03-13,28764816,Mr. November,UST842006403,1399763,0,0,38,42
6,2020-03-13,28764826,A Reasonable Man (I Don't Mind),UST842006405,1399763,0,0,38,42
7,2020-06-12,28496186,Going Going,UST842006408,1399763,9367,29,29,29
8,2020-06-22,32021132,It's Gold,USHM22076315,1010600,0,0,0,0
9,2020-06-22,32463895,Milky,USHM22076316,1010600,0,0,0,0
10,2020-07-02,29991692,The Geese of Beverly Road,UST842006406,1399763,0,0,0,23740
11,2020-07-02,29991711,Looking for Astronauts,UST842006407,1399763,0,0,0,23740
12,2020-07-23,30360644,Mustang,QMCE71302890,1399763,108863,26771,27308,27745
13,2020-08-12,30970244,Boomer,QMCE71302891,1399763,90335,2815,2815,2896
14,2020-09-16,31372321,Kelly Rowland,QMCE71302892,1399763,35629,24348,26598,46618
15,2020-10-02,31543441,Mossblerd,QMCE71302896,1399763,3474,41569,85606,94258
16,2020-10-02,31543127,Far,QMCE71302897,1399763,3906,41569,85606,94258
17,2020-10-02,31543126,Fallen for You,QMCE71302898,1399763,19564,41569,85606,94258
18,2020-10-02,31538242,Flagey God,QMCE71302895,1399763,3476,41569,85606,94258
19,2020-10-02,31530958,Ghostly,QMCE71302899,1399763,3989,41569,85606,94258
20,2020-10-02,31528314,Stone Meadows,QMCE71302894,1399763,32762,41569,85606,94258
21,2020-10-02,31543360,Jealousy,QMCE71302889,1399763,3474,41569,85606,94258
22,2020-10-02,22387666,In a Cab,QZDA51900896,1399763,4828,41569,85606,94258
23,2020-10-23,31776148,Top of the World (feat. Bartees Strange),QM7282077752,433169,1080,7523,7523,16331
24,2020-11-12,31982108,Plead Insanity,TCAFE2092351,1729860,6804,3112,6804,6804
25,2020-11-20,32031641,Goldbrick Champion,GBKPL2027899,128122,82660,20691,75643,75828
26,2021-01-15,32211112,Pool - Bartees Strange Version,QM5BK1900393,99905,1395,33121,824503,2269116
27,2021-01-19,32639818,The Pearl,USSWQ2104502,4200362,66889,3152,3191,3191
