index,added_at,cm_track,title,cm_artist,artists,release_date,days_on_playlist,artist1,artist2,cm_artist1,cm_artist2,spf_art1,spl_art1,sp_fcr_art1,spf_art2,spl_art2,sp_fcr_art2
0,2021-01-28,32551600,Die Happily,[905141],['FRITZ'],2021-01-13,26,FRITZ,,905141,,1780.0,19940.0,8.926780341023068,,,
1,2021-02-17,32825575,How'd It Come to This,[3571013],['Joss Mogli'],2021-02-12,6,Joss Mogli,,3571013,,110.0,179.0,61.452513966480446,,,
2,2021-02-17,32791422,Warm and Sweet,[880722],['Blackaby'],2021-02-10,6,Blackaby,,880722,,997.0,24706.0,4.0354569740144095,,,
3,2021-01-28,32672027,Ten Feet Tall,[4009386],['Charlie Hickey'],2021-01-26,26,Charlie Hickey,,4009386,,996.0,21686.0,4.592824863967537,,,
4,2021-02-17,32850546,Face,[3884029],['Borito'],2021-02-12,6,Borito,,3884029,,330.0,2797.0,11.798355380765106,,,
5,2021-02-17,32822956,Solace,[4127100],['Kylie V'],2021-02-10,6,Kylie V,,4127100,,268.0,7617.0,3.51844558225023,,,
6,2021-02-17,32833540,Beautiful Desperation,[4088807],['Goldpark'],2021-02-12,6,Goldpark,,4088807,,648.0,8601.0,7.534007673526334,,,
7,2021-01-14,32504056,In the Clear,[3414455],['Hi Frisco'],2021-01-06,40,Hi Frisco,,3414455,,345.0,1905.0,18.11023622047244,,,
8,2021-02-17,32850090,T.O.C.,[1094423],['Why Dogs Why'],2021-02-12,6,Why Dogs Why,,1094423,,188.0,144.0,130.55555555555557,,,
9,2021-02-04,32678676,Escape Route,[4210613],['Jordi'],2021-01-27,19,Jordi,,4210613,,58.0,100.0,57.99999999999999,,,
10,2021-02-17,32787048,Crossword,[1355289],['Snacking'],2021-02-08,6,Snacking,,1355289,,495.0,2420.0,20.454545454545457,,,
11,2021-02-17,32742024,Glitter,[392483],['Babe Punch'],2021-02-04,6,Babe Punch,,392483,,527.0,411.0,128.22384428223845,,,
12,2020-12-07,31076834,The Rift,[786190],['Chappaqua Wrestling'],2020-08-21,78,Chappaqua Wrestling,,786190,,4031.0,45103.0,8.937321242489412,,,
13,2021-02-17,32792106,Let It All Go,[3525029],['Francis of Delirium'],2021-02-10,6,Francis of Delirium,,3525029,,1218.0,12397.0,9.824957651044608,,,
14,2021-02-17,32830018,Guilt Like a Gun,[728455],['Kali Masi'],2021-02-12,6,Kali Masi,,728455,,3281.0,15545.0,21.106465101318754,,,
15,2021-02-17,32823643,Cover Me,[415131],['Polar States'],2021-02-12,6,Polar States,,415131,,1257.0,2318.0,54.22778257118205,,,
16,2021-02-17,32822758,Bad News,[1689950],['lostboy'],2021-02-12,6,lostboy,,1689950,,1070.0,12915.0,8.284939992257065,,,
17,2021-01-14,32469359,knuckle tattoo,[3719963],['girlhouse'],2021-01-01,40,girlhouse,,3719963,,134.0,10464.0,1.2805810397553516,,,
18,2021-02-11,32702625,Outside,[1619077],['Sleepy Soul'],2021-01-28,12,Sleepy Soul,,1619077,,242.0,1262.0,19.17591125198098,,,
19,2021-02-11,32754317,Brighter Lighting,[1147883],['Elijah Wolf'],2021-02-04,12,Elijah Wolf,,1147883,,576.0,8486.0,6.787650247466415,,,
20,2021-02-17,32620003,Portals,[1027957],['Katy Kirby'],2021-02-09,6,Katy Kirby,,1027957,,2264.0,78956.0,2.8674198287653887,,,
