index,release_dates,cm_track_id,track_title,isrc,cm_artist_id,sp-rch-1wk,sp-rch-2wk,sp-rch-3wk,ftimestp,spfollowers,splisteners,sp_fcr,daily_diff,year-month,twitter_followers,twitter_followers1wk,twitter_followers2wk,twitter_followers3wk,instagram_followers,instagram_followers1wk,instagram_followers2wk,instagram_followers3wk,spfollowers1wk,spfollowers2wk,spfollowers3wk,splisteners1wk,splisteners2wk,splisteners3wk,first_week_growth,second_week_growth,third_week_growth,first_week_listenersgrowth,second_week_listenersgrowth,third_week_listenersgrowth,first_week_IGgrowth,second_week_IGgrowth,third_week_IGgrowth,first_week_TWgrowth,second_week_TWgrowth,third_week_TWgrowth
2,2020-03-13,28764826,A Reasonable Man (I Don't Mind),UST842006405,1399763,0,38,42,2020-03-13,411,8324,0.049375300336376736,6.0,2020-03,,,,,,,,,457,457,680,12510,12510,17803,46,0,223,4186,0,5293,,,,,,
3,2020-06-12,28496186,Going Going,UST842006408,1399763,29,29,29,2020-06-12,879,4133,0.2126784418098233,2.0,2020-06,,,,,,,,,895,918,950,3953,3970,5922,16,23,32,-180,17,1952,,,,,,
5,2020-06-22,32463895,Milky,USHM22076316,1399763,0,0,0,2020-06-22,918,3970,0.2312342569269521,5.0,2020-06,,,,,,,,,918,1010,1010,3970,11797,11797,0,92,0,0,7827,0,,,,,,
7,2020-07-02,29991711,Looking for Astronauts,UST842006407,1399763,0,0,23747,2020-07-02,950,5922,0.16041877744005406,3.0,2020-07,,,,,,,,,1010,1010,1078,11797,11797,21661,60,0,68,5875,0,9864,,,,,,
8,2020-07-23,30360644,Mustang,QMCE71302890,1399763,26778,27316,27754,2020-07-23,1078,21661,0.04976686210239601,4.0,2020-07,,,,,,,,,1078,1292,1415,21661,34599,40941,0,214,123,0,12938,6342,,,,,,
9,2020-08-12,30970244,Boomer,QMCE71302891,1399763,2816,2816,2897,2020-08-12,1415,40941,0.034561930583034126,11.0,2020-08,,,,,,,,,1765,1959,2072,51016,60961,58782,350,194,113,10075,9945,-2179,,,,,,
10,2020-09-16,31372321,Kelly Rowland,QMCE71302892,1399763,24355,26606,46681,2020-09-16,2548,49788,0.051176990439463325,11.0,2020-09,3882.0,3889.0,3983.0,4545.0,,,,,2729,2928,3245,45763,47885,54854,181,199,317,-4025,2122,6969,,,,7.0,94.0,562.0
18,2020-10-02,22387666,In a Cab,QZDA51900896,1399763,41634,85683,94332,2020-10-02,2928,47885,0.06114649681528664,0.0,2020-10,4036.0,4701.0,4914.0,5006.0,,,,,4175,4707,4994,79662,95657,103169,1247,532,287,31777,15995,7512,,,,665.0,213.0,92.0
19,2020-10-23,31776148,Top of the World (feat. Bartees Strange),QM7282077752,1399763,44504,53609,66018,2020-10-23,4994,103169,0.048406013434268036,0.0,2020-10,5006.0,5075.0,5127.0,5193.0,,,5098.0,5182.0,5370,5777,6033,107752,91903,76380,376,407,256,4583,-15849,-15523,,,84.0,69.0,52.0,66.0
20,2020-11-12,31982108,Plead Insanity,TCAFE2092351,1399763,14417,41602,108554,2020-11-12,5962,78623,0.07583022779593758,0.0,2020-11,5186.0,5229.0,5313.0,5381.0,5173.0,5265.0,5363.0,5450.0,6177,6395,6647,71553,67480,63997,215,218,252,-7070,-4073,-3483,92.0,98.0,87.0,43.0,84.0,68.0
21,2020-11-20,32031641,Goldbrick Champion,GBKPL2027899,1399763,27185,94137,103147,2020-11-20,6177,71553,0.08632761729067964,0.0,2020-11,5234.0,5319.0,5422.0,5638.0,5289.0,5376.0,5480.0,5686.0,6526,6647,7049,65999,63997,67620,349,121,402,-5554,-2002,3623,87.0,104.0,206.0,85.0,103.0,216.0
22,2021-01-15,32211112,Pool - Bartees Strange Version,QM5BK1900393,1399763,6069,12730,13011,2021-01-15,9810,146217,0.06709206179855967,204.0,2021-01,6334.0,6390.0,6918.0,7223.0,6731.0,6892.0,7673.0,8350.0,10061,10282,11416,141767,140887,130325,251,221,1134,-4450,-880,-10562,161.0,781.0,677.0,56.0,528.0,305.0
23,2021-01-19,32639818,The Pearl,USSWQ2104502,1399763,12666,12753,13325,2021-01-19,9810,146217,0.06709206179855967,0.0,2021-01,6365.0,6579.0,7175.0,7295.0,6848.0,7052.0,8086.0,8461.0,10282,10949,11578,140887,135020,129309,472,667,629,-5330,-5867,-5711,204.0,1034.0,375.0,214.0,596.0,120.0
