index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,Before_Tiktok_Date,total_spotify_followers,track_age
0,1,2021-03-09,Sugarcrash!,ElyOtto,TCAFB2092742,0.28571428571428603,31221266.0,40,['2020-08-25T00:00:00.000Z'],3917163,2021-01-21,3487.0,2 months
2,3,2021-03-09,WITHOUT YOU,The Kid LAROI,USSM12006586,0.28571428571428603,31894832.0,92,['2020-11-06T00:00:00.000Z'],1333786,2020-11-30,775121.0,over 2 months
3,4,2021-03-09,Aesthetic,Xilo,QZFZ22071847,-0.28571428571428603,28796568.0,262,['2020-02-14T00:00:00.000Z'],3377623,2020-06-13,,over 2 months
6,7,2021-03-09,Bad (2012 Remaster),Michael Jackson,USSM18700002,-0.42857142857142894,15813757.0,19,"['2012-11-30T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '2001-11-13T00:00:00.000Z', '1995-06-16T00:00:00.000Z']",178,2021-02-11,17375600.0,a month
7,8,2021-03-09,the bob for me,Aqyila,QZFYZ2164782,-0.14285714285714302,32651909.0,12,['2020-12-26T00:00:00.000Z'],3760154,2021-02-18,2293.0,a month
8,9,2021-03-09,Моя голова винтом (My head is spinning like a screw),kostromin,QM4TW2159341,-0.42857142857142894,32733452.0,19,['2021-02-02T00:00:00.000Z'],4158039,2021-02-11,2020.0,a month
10,11,2021-03-09,Batman,LPB Poody,USUM72101263,4.0,32825135.0,11,['2021-02-12T00:00:00.000Z'],1114822,2021-02-19,47095.0,a month
11,12,2021-03-09,telepatía,Kali Uchis,GBUM72005748,1.28571428571429,32010274.0,21,"['2020-11-18T00:00:00.000Z', '2020-11-18T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-26T00:00:00.000Z']",99202,2021-02-09,1340834.0,a month
12,13,2021-03-09,Apaga a Luz Apaga Tudo 150Bpm,Mc Topre,US7VG2175883,,32999109.0,6,['2021-02-22T00:00:00.000Z'],720112,2021-02-24,6426.0,a month
13,14,2021-03-09,Tokyo,Leat'eq,QZB4J1810678,1.42857142857143,19210578.0,27,['2018-05-07T00:00:00.000Z'],113442,2021-02-03,4457.0,a month
14,15,2021-03-09,Can We Kiss Forever?,Kina,QMPKX1823521,0.0,20497349.0,145,['2018-08-31T00:00:00.000Z'],902878,2020-10-08,505826.0,over 2 months
15,16,2021-03-09,Pierre dance challenge Isla McMillan,Ryn Weaver,USUM71502417,-0.42857142857142894,15933837.0,21,"['2015-08-17T00:00:00.000Z', '2015-08-28T00:00:00.000Z', '2015-08-17T00:00:00.000Z', '2015-08-28T00:00:00.000Z', '2015-06-16T00:00:00.000Z', '2021-02-26T00:00:00.000Z', '2021-03-04T00:00:00.000Z']",5042,2021-02-09,186758.0,a month
16,17,2021-03-09,Oh No,Kreepa,USUYG1287925,0.0,29425832.0,126,['2019-12-13T00:00:00.000Z'],437999,2020-10-27,,over 2 months
