index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,track_age,Before_Tiktok_Date,total_ig_followers,artist_pop,Popularity-Index,Week_In_Chart_Date,ig_followers_afters,IG_Follower_Gain-%,ig_eng
0,2,2021-03-17,Renai Circulation (English Cover) [TV Size],Lizz Robinett,QZGWX2002684,,31024231.0,6,['2020-08-13T00:00:00.000Z'],316927,a month,2021-03-04,8432.0,63.0,< 80,2021-03-18,8818.0,4.577798861480076,8.5847
1,8,2021-03-17,telepatía,Kali Uchis,GBUM72005748,0.285714285714286,32010274.0,29,"['2020-11-18T00:00:00.000Z', '2020-11-18T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-26T00:00:00.000Z', '2021-03-05T00:00:00.000Z']",99202,a month,2021-02-09,2211918.0,88.0,>=80,2021-02-23,2284619.0,3.2867854956648483,18.3418
2,9,2021-03-17,Ponle,Rvssian,USSD11800307,17.8571428571429,20535780.0,9,"['2018-09-06T00:00:00.000Z', '2019-04-26T00:00:00.000Z']",214112,a month,2021-03-01,1024767.0,72.0,< 80,2021-03-15,1023653.0,-0.10870763793135414,5.4221
3,10,2021-03-17,Ajena (with Myke Towers & Dayme y El High),Dylan Fuentes,TCAEB1906994,,22324798.0,5,"['2019-01-18T00:00:00.000Z', '2020-08-14T00:00:00.000Z']",924285,a month,2021-03-05,1240693.0,58.0,< 80,2021-03-19,1234670.0,-0.4854545000253891,2.1747
4,11,2021-03-17,Batman,LPB Poody,USUM72101263,-0.571428571428571,32825135.0,19,['2021-02-12T00:00:00.000Z'],1114822,a month,2021-02-19,349796.0,66.0,< 80,2021-03-05,355040.0,1.4991595101144668,10.8144
5,12,2021-03-17,sonido original,Los Farandulay,USHM21996423,4.57142857142857,29294262.0,11,['2019-07-05T00:00:00.000Z'],1776214,a month,2021-02-27,,36.0,< 80,2021-03-13,27151.0,,1.5837
6,14,2021-03-17,Apaga a Luz Apaga Tudo 150Bpm,Mc Topre,US7VG2175883,-0.428571428571429,32999109.0,14,['2021-02-22T00:00:00.000Z'],720112,a month,2021-02-24,,58.0,< 80,2021-03-10,,,0.0
7,20,2021-03-17,I LOVE YOU,Kevin Rater,FR2X42108190,618.142857142857,32994191.0,14,['2020-07-29T00:00:00.000Z'],4275094,a month,2021-02-24,,,< 80,2021-03-10,,,0.0
8,21,2021-03-17,Pesetas,Rilès,TCADC1725047,2.28571428571429,14418667.0,13,['2017-05-29T00:00:00.000Z'],572457,a month,2021-02-25,703905.0,69.0,< 80,2021-03-11,702584.0,-0.1876673698865614,10.9119
9,23,2021-03-17,Bad (2012 Remaster),Michael Jackson,USSM18700002,-2.14285714285714,15813757.0,27,"['2012-11-30T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '1995-06-16T00:00:00.000Z', '2001-11-13T00:00:00.000Z', '1995-06-16T00:00:00.000Z']",178,a month,2021-02-11,5796340.0,86.0,>=80,2021-02-25,5830303.0,0.5859387130499591,3.2643
10,24,2021-03-17,Jelly,Big Homie Ty.Ni,USWB12004730,14.8571428571429,32250669.0,27,['2020-12-11T00:00:00.000Z'],4126157,a month,2021-02-11,,40.0,< 80,2021-02-25,,,0.0
11,25,2021-03-17,Pierre dance challenge Isla McMillan,Ryn Weaver,USUM71502417,-1.57142857142857,15933837.0,29,"['2015-08-17T00:00:00.000Z', '2015-08-28T00:00:00.000Z', '2015-08-17T00:00:00.000Z', '2015-08-28T00:00:00.000Z', '2015-06-16T00:00:00.000Z', '2021-02-26T00:00:00.000Z', '2021-03-04T00:00:00.000Z']",5042,a month,2021-02-09,76676.0,70.0,< 80,2021-02-23,77616.0,1.2259377119307215,5.0787
12,29,2021-03-17,Моя голова винтом (My head is spinning like a screw),kostromin,QM4TW2159341,-2.28571428571429,32733452.0,27,['2021-02-02T00:00:00.000Z'],4158039,a month,2021-02-11,,67.0,< 80,2021-02-25,,,0.0
13,30,2021-03-17,the bob for me,Aqyila,QZFYZ2164782,-2.14285714285714,32651909.0,20,['2020-12-26T00:00:00.000Z'],3760154,a month,2021-02-18,12356.0,55.0,< 80,2021-03-04,13199.0,6.822596309485271,13.1715
14,32,2021-03-17,Reloj,Rauw Alejandro,USSD12000471,1.0,31750071.0,13,"['2020-10-22T00:00:00.000Z', '2020-11-13T00:00:00.000Z']",224838,a month,2021-02-25,6916424.0,94.0,>= 90,2021-03-11,7075524.0,2.300321669116873,5.0984
